EventType	Survey Type	VIN First9	VIN Last8	ModelYear	BodyModelCode	CorpVehicleDescription	Family Code	CustomerID	SurveyStatus	PurchaseDate	BuildDate	SampleDate	ReceiptDate	ZoneCode (BC)	SALES DISTRICT	SalesGroupSize	Brand	DealerCode	MarketCode	PlantCode	G_Date	RepairNumber	RepairDate	SERVICE DISTRICT 	SalesPerson_SID	FinancePerson_SID	SalesManager_SID	ServiceAdvisor_SID	Technician_SID	QGENDER	QAGE	QMARITAL	QINCOME	QArea	QEducation	AR_QSalesAdvocacy	AR_QBrandAdvocacy	AR_QAvailableVehs	AR_QAppearance	AR_QComfort	AR_QFacility	AR_QFollowThrough	AR_QVehKnowledge	AR_QMeetNeeds	AR_QCourteous	AR_QResponsive	AR_QHonest	AR_QTabletDevice	AR_QTabletUse_VehNeeds	AR_QTabletUse_VehFeatures	AR_QTabletUse_CapturePersonalInfo	AR_QTabletUse_PricingPayment	AR_QTabletUse_Other	AR_QTabletUse_NoRecall	AR_QTabletUse_VerbOther	AR_QTestDrive	AR_QTestDriveReason	AR_QTestDriveReason_VerbOther	AR_QSalesCons	AR_QAgreementEase	AR_QClarity	AR_QTimeFinalPaperwork	AR_QFairness	AR_QProfessional	AR_QWorkingOutDeal	AR_QPressure	AR_QExplainVehFeatures	AR_QHandoff	AR_QTimeFinalDelivery	AR_QVehCondition	AR_QConvenience	AR_QBluetooth	AR_QVehCommunication	AR_QFeatureSetup	AR_QDelivery	AR_QVehConditionDesc_Dings	AR_QVehConditionDesc_Dirty	AR_QVehConditionDesc_MissingFeature	AR_QVehConditionDesc_NoIssues	AR_QVehConditionDesc_Other	AR_QVehConditionDesc_VerbOther	AR_QSalesExperience	AR_DealerSat_Verbatim	AR_DealerSat_Verbatim_Codes_Array	AR_DealerSat_Verbatim_Codes_01	AR_DealerSat_Verbatim_Codes_02	AR_DealerSat_Verbatim_Codes_03	AR_QModelSat	AR_ModelSat_Verbatim	AR_ModelSat_Verbatim_Codes_Array	AR_ModelSat_Verbatim_Codes_01	AR_ModelSat_Verbatim_Codes_02	AR_ModelSat_Verbatim_Codes_03	AR_QServAdvocacy	AR_QTypeWork ExpressLane	AR_QTypeWork NotExpressLane	AR_QTypeWork Warranty	AR_QTypeWork NonWarranty	AR_QTypeWork Recall	AR_QTypeWork Collision_BodyRepair	AR_QTypeWork Other(specify)	AR_QTypeWork_VerbOther	AR_QFFV	AR_QFFVReasons_Busy	AR_QFFVReasons_MoreWork	AR_QFFVReasons_NotFind	AR_QFFVReasons_BrokeAgain	AR_QFFVReasons_PartsNA	AR_QFFVReasons_NotFixed	AR_QFFVReasons_NewProb	AR_QFFVReasons_NotWarr	AR_QFFVReasons_NoAppt	AR_QFFVReasons_Other	AR_QFFVReasons_DontKnow	AR_QFFVReasons_VerbOther	AR_FFVFix_Maint	AR_FFVFix_WarningIndic	AR_FFVFix_Engine	AR_FFVFix_NoStart	AR_FFVFix_Xmissn	AR_FFVFix_Brakes	AR_FFVFix_SteerSuspn	AR_FFVFix_TiresWheels	AR_FFVFix_Exterior	AR_FFVFix_WaterWind	AR_FFVFix_Interior	AR_FFVFix_SqueakRattleVibr	AR_FFVFix_NavAudioEnter	AR_FFVFix_Electrical	AR_FFVFix_HeatingAC	AR_FFVFix_SunroofTop	AR_FFVFix_Doors	AR_FFVFix_Recall	AR_FFVFix_Seats	AR_FFVFix_Access	AR_FFVFix_Other	AR_FFVFix_VerbOther	AR_QTimeComplete	AR_Q_ThoroughWork	AR_QCondition	AR_QKnowledge	AR_QCourtesy	AR_QResponsiveness	AR_QThoroughExplain	AR_QFocused	AR_QAdvice	AR_QVehInspect	AR_StatusUpdate	AR_CostEstimate	AR_Q_SERV_ADV	AR_QEaseSched	AR_QHowSched	AR_QDayWait	AR_QDaySat	AR_QTimelinessDropoff	AR_QFacilityComfort	AR_QFacilityEase	AR_QCleanFacility	AR_QTabletPurpose_CapturePersonalInfo	AR_QTabletPurpose_ServiceHistory	AR_QTabletPurpose_Odometer	AR_QTabletPurpose_WorkToComplete	AR_QTabletPurpose_IssueDetails	AR_QTabletPurpose_CostEstimate	AR_QTabletPurpose_Other	AR_QTabletPurpose_NoRecall	AR_QTabletPurpose_VerbOther	AR_QTransOffer	AR_QTransType	AR_QVehReady	AR_QAccuracyCost	AR_QExplainCharges	AR_QWorkPerformed	AR_QPickup	AR_QFairCharges	AR_QHelpful	AR_QServiceExperience	AR_DealerSuggestionVerbatim	AR_DealerSuggestionVerbatim_Codes_Array	AR_DealerSuggestionVerbatim_Codes_01	AR_DealerSuggestionVerbatim_Codes_02	AR_DealerSuggestionVerbatim_Codes_03	CL_ContactYou	CL_Resolved	CL_Advocacy	CL_Delivery	CL_SlsConsult	CL_SER_ADV	CL_Comment	CL_Comment_Category_Codes_Array	CL_Comment_Category_Codes_01	CL_Comment_Category_Codes_02	CL_Comment_Category_Codes_03	Original_DlrAdvocacy	Original_Delivery	Original_SlsConsultant	Original_Serv_Advisor	CL_InviteDate	CL_ReturnDate	CL_Status	UniqueID	Original_ReportMonth	VehicleSaleType	LanguageCode	RPT_MONTH
001	Sales	ZARFAEEN5	H7556225	2017	GAGT41	GIULIA TI AWD                  AWD	GA	731167823	001	20180228	20170523	20180301	20180401002705	71	A	B	A	69130	U    	7         	2017-05-23	          	          	G         	S05035P   	          	S32448O   	          	          	1	1972	02	7	2	7	10	10	10	09	10	09	1	10	10	10	10	10	2	00	00	00	00	00	00	 	1		 	10	10	10	10	10	10	10	1	10	1	10	10	1	1	1	1	10	00	00	00	04	00	 	10	Responsive to questions throughout buying process, including pricing and financing.	1101,1108,5002,5102	1101	1108	5002	09	Beautiful interior and exterior design, including rims; engine is responsive and exhaust sounds good; Comfortable sport seats and nicely integrated infotainment screen.	0023,0029,0125,0226,0352	0023	0029	0125	99								 	 	00	00	00	00	00	00	00	00	00	00	00	 	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	99	99	99	99	99	99	99	99	9	9	9	9	9	99	99	 	 	99	99	99	99	99	00	00	00	00	00	00	00	00	 	 	 	 	 	 	 	 	 	 	 	Style and design of dealerships need to be nicer to attract buyers who cross shop at BMW, Audi, Mercedes and even Porsche.  Competitor dealerships offer nicer amenities (e.g. coffee, pastries), fancier offices and luxurious service areas.	2106,3101,8002	2106	3101	8002	          	          	          	          	0000      	0000      	0000	99        	          	          	          	10	10	10		 	 	AXFX	58124101	201804    	L	en	201804    
001	Sales	ZASFAKNN9	J7B94034	2018	GUGT74	STELVIO TI AWD                 AWD	GU	734591415	001	20180228	20171004	20180301	20180329132753	32	1	B	A	69098	U    	7         	2017-10-04	          	          	H         	S47079L   	S99685N   	S99685N   	          	          	1	1994	01	2	2	5	10	10	10	10	10	10	1	10	10	10	10	10	2	00	00	00	00	00	00	 	1		 	10	10	10	10	10	10	10	1	10	1	10	10	1	1	1	1	10	00	00	00	04	00	 	10	Everything, i just need a key chain.	7001	7001	0000	0000	10	 	 	0000	0000	0000	99								 	 	00	00	00	00	00	00	00	00	00	00	00	 	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	99	99	99	99	99	99	99	99	9	9	9	9	9	99	99	 	 	99	99	99	99	99	00	00	00	00	00	00	00	00	 	 	 	 	 	 	 	 	 	 	 	Giving out key chains	 	0000	0000	0000	          	          	          	          	0000      	0000      	0000	99        	          	          	          	10	10	10		 	 	AXFX	58124573	201804    	L	en	201804    
001	Sales	ZARFAEDN9	J7572385	2018	GAGL41	GIULIA AWD                     AWD	GA	737311283	001	20180219	20170921	20180301	20180330091351	32	1	B	A	69098	U    	7         	2017-09-21	          	          	H         	S47079L   	S99685N   	S99685N   	          	          	2	1967	02	6	3	7	10	08	10	10	10	10	1	08	09	10	09	10	3	00	00	00	00	00	00	 	1		 	10	09	09	09	09	09	10	2	10	2	10	10	1	1	1	1	10	00	00	00	04	00	 	10	Friendly staff, engaged and motivated. Overall pleasant experience.	1003,1006	1003	1006	0000	10	 	 	0000	0000	0000	99								 	 	00	00	00	00	00	00	00	00	00	00	00	 	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	99	99	99	99	99	99	99	99	9	9	9	9	9	99	99	 	 	99	99	99	99	99	00	00	00	00	00	00	00	00	 	 	 	 	 	 	 	 	 	 	 	 	 	0000	0000	0000	          	          	          	          	0000      	0000      	0000	99        	          	          	          	10	10	10		 	 	AXFX	58125355	201804    	L	en	201804    
001	Sales	ZARFAEBN0	H7559277	2017	GAFL41	GIULIA RWD                     RWD	GA	721512245	001	20180305	20170613	20180307	20180328161454	71	D	A	A	69217	U    	7         	2017-06-13	          	          	K         	S66834Q   	S00361L   	S56522H   	          	          	1	1976	03	2	2	4	07	10	05	06	04	04	1	06	04	09	09	10	2	00	00	00	00	00	00	 	1		 	09	09	09	08	08	07	09	1	05	2	07	05	1	1	2	2	06	00	00	00	00	00	it was a dealer demo & has a couple marks	08	 	 	0000	0000	0000	10	The way it drives. Much better than the BMW's I've owned or test drove.	2106,3010	2106	3010	0000	99								 	 	00	00	00	00	00	00	00	00	00	00	00	 	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	99	99	99	99	99	99	99	99	9	9	9	9	9	99	99	 	 	99	99	99	99	99	00	00	00	00	00	00	00	00	 	 	 	 	 	 	 	 	 	 	 	 	 	0000	0000	0000	          	          	          	          	0000      	0000      	0000	99        	          	          	          	07	06	09		 	 	ARFX	58297379	201804    	L	en	201804    
001	Sales	ZARFAEEN6	H7534931	2017	GAGT41	GIULIA TI AWD                  AWD	GA	079801278	001	20180303	20170110	20180312	20180410174941	42	I	A	A	69194	U    	7         	2017-01-10	          	          	I         	S89248O   	          	S89248O   	          	          	1	1973	02	6	2	7	02	09	10	10	09	09	2	10	10	10	10	10	2	00	00	00	00	00	00	 	1		 	10	01	01	01	09	01	01	1	10	1	01	10	1	1	1	1	03	00	00	00	04	00	 	04	 	 	0000	0000	0000	08	solid engine  responsive and sporty nice interior	1006,8002	1006	8002	0000	99								 	 	00	00	00	00	00	00	00	00	00	00	00	 	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	99	99	99	99	99	99	99	99	9	9	9	9	9	99	99	 	 	99	99	99	99	99	00	00	00	00	00	00	00	00	 	 	 	 	 	 	 	 	 	 	 	 	 	0000	0000	0000	          	          	          	          	0000      	0000      	0000	99        	          	          	          	02	03	10		 	 	ARFX	58399439	201804    	1	en	201804    
009	Additional Warranty Event	ZARFAECN3	J7574909	2018	GAFT41	GIULIA TI RWD                  RWD	GA	736974830	001	20180115	00000000	20180312	20180409211431	63	1	A	A	69156	U    	7         	0000-00-00	007814    	2018-02-16	E         	          	          	          	S41992Q   	S92067E   	1	1965	02	4	2	4	99	08	99	99	99	99	9	99	99	99	99	99	3	00	00	00	00	00	00	 	9		 	99	99	99	99	99	99	99	0	99	9	99	99	9	9	9	9	99	00	00	00	00	00	 	99	They seemed a bit confused about some things but they did work hard and did their best.  They were very nice about everything and got the problem fixed in the end.	1006,1103,1215	1006	1103	1215	09	I love the look and performance of the car.  I like the DNA to change levels of performance.  I love the solid refined feel and awesome handling of the car.  It beats the 4 BMW's I have owned in the past and is a joy to drive.  It will never keep up with my 911 Turbo but it is plenty fast enough.  I love the way the seats hug me in the TI Sport model and the digital transmission selector.  It's a pretty solid car and turns many heads.	1008,2106,3011,8002	1008	2106	3011	10								 	2	00	00	00	00	00	00	00	00	00	10	00	They didn't realize the part was not painted so I had to come back after it was painted to match my car.	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	17	00	00	00	00	They didn't realize the part was not painted so I had to come back after it was painted to match my car.	07	10	08	05	10	09	09	1	1	1	1	1	07	10	01	08	07	10	10	08	10	00	00	00	00	00	00	00	00	 	1	1	1	1	1	1	10	10	10	09	 	 	0000	0000	0000	          	          	          	          	0000      	0000      	0000	99        	          	          	          	10			07	 	 	AXFX	58452403	201804    	1	en	201804    
008	Additional Customer Pay Event	ZASFAKNN3	J7B96622	2018	GUGT74	STELVIO TI AWD                 AWD	GU	715687264	001	20171204	00000000	20180312	20180320122323	42	B	B	A	69008	U    	7         	0000-00-00	916576    	2018-03-09	B         	          	          	          	S86290J   	S16256N   	2	1958	01	10	3	4	99	06	99	99	99	99	9	99	99	99	99	99	2	00	00	00	00	00	00	 	9		 	99	99	99	99	99	99	99	0	99	9	99	99	9	9	9	9	99	00	00	00	00	00	 	99	I had no issues scheduling an appointment time that worked with my time constraints.	3001,3011	3001	3011	0000	06	 	 	0000	0000	0000	10								 	3	00	00	03	00	05	00	00	00	00	00	00	 	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	99	10	09	09	09	09	09	09	1	1	1	1	9	09	10	01	03	10	08	09	08	09	00	00	00	00	00	00	00	00	 	5	 	1	9	9	2	09	99	09	10	I'm not certain how this will sound but here goes.  I am hoping that as the brand picks up momentum in the states that it would be possible to have it's own service center(s) where there are more experience reps & technicians available.  Waiting to hear back from Alfa engineering to assess a sound that turned out to be normal to this vehicle could have saved me a few sleepless nights.  FYI-it sounds like an electrical issue and I could only think of fire.  This is no reflection on Gollig.  We're all new to this.	1016,1108,2105,3002,3011	1016	1108	2105	          	          	          	          	0000      	0000      	0000	99        	          	          	          	10				 	 	ACFN	58452445	201803    	L	en	201804    
009	Additional Warranty Event	ZASFAKPN2	J7B61826	2018	GUGL74	STELVIO AWD                    AWD	GU	117875344	001	20170802	00000000	20180312	20180402005924	70	N	B	A	69152	U    	7         	0000-00-00	020721    	2018-03-05	L         	          	          	          	S61043M   	S02778O   	1	1971	02	2	3	8	99	08	99	99	99	99	9	99	99	99	99	99	1	00	00	00	00	00	00	 	9		 	99	99	99	99	99	99	99	0	99	9	99	99	9	9	9	9	99	00	00	00	00	00	 	99	 	 	0000	0000	0000	08	The car is very confortable, and I enjoy driving it.	2002	2002	0000	0000	08								 	2	00	00	00	00	05	00	00	00	00	00	00	 	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	21	99	04	04	04	10	10	10	10	1	1	1	1	1	10	04	01	02	04	04	04	04	04	01	00	03	04	05	00	00	00	 	1	2	3	1	1	1	08	04	08	08	Instead of a Chrysler/Dodge replacement vehicle thru enterprise rental. It would have been nice and more convienient to get a Alfa Romeo loaner car instead.	2105,3003,3004	2105	3003	3004	          	          	          	          	0000      	0000      	0000	99        	          	          	          	08			10	 	 	AXFX	58452448	201804    	L	en	201804    
001	Sales	ZARFAECN3	J7580001	2018	GAFT41	GIULIA TI RWD                  RWD	GA	737236857	001	20180312	20171121	20180313	20180330154010	66	E	A	A	69014	U    	7         	2017-11-21	          	          	E         	S28178O   	          	S82471O   	          	          	1	1951	02	1	2	5	10	10	10	09	09	09	1	10	10	10	08	10	3	00	00	00	00	00	00	 	1		 	10	10	10	09	10	99	10	1	08	1	09	10	1	1	1	1	10	00	00	00	04	00	 	09	The car in the colors I was looking for was quickly located, it had more options than I thought I needed but the price was dropped to what I expected to pay so I was happy.  The car took a while to arrive, but paper signing went quickly and we were given good instructions on how to use the cars features.  It was a very good experience.	2003,3008,3011,5002,8002	2003	3008	3011	08	I chose the Gullia based on it's unique looks, it's beautiful interior, and magazine recomendation's saying it was the most fun to drive.	2002,3101,8002	2002	3101	8002	99								 	 	00	00	00	00	00	00	00	00	00	00	00	 	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	99	99	99	99	99	99	99	99	9	9	9	9	9	99	99	 	 	99	99	99	99	99	00	00	00	00	00	00	00	00	 	 	 	 	 	 	 	 	 	 	 	There is always waiting periods like getting papers ready.  But everything went much smoother than past car buying experiences.	3008,3011	3008	3011	0000	          	          	          	          	0000      	0000      	0000	99        	          	          	          	10	10	10		 	 	AXFX	58459808	201804    	1	en	201804    
001	Sales	ZARFAECN2	J7565876	2018	GAFT41	GIULIA TI RWD                  RWD	GA	737566682	001	20180310	20170720	20180313	20180406162111	66	E	A	A	69014	U    	7         	2017-07-20	          	          	E         	S15081M   	          	S82471O   	          	          	1	 	 	 	 	 	10	09	09	09	09	09	1	10	09	10	10	10	3	00	00	00	00	00	00	 	1		 	10	09	09	09	09	09	09	1	09	1	09	10	1	1	1	1	09	00	00	00	04	00	 	09	Kevin was great.  Knowledgeable, professional, and courteous. No pressure and nice guy. Ron also helped out and was very nice and knowledgeable.	1004,1006,1008,1009,1012,1014	1004	1006	1008	09	handling and overall style are great.	8002	8002	0000	0000	99								 	 	00	00	00	00	00	00	00	00	00	00	00	 	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	99	99	99	99	99	99	99	99	9	9	9	9	9	99	99	 	 	99	99	99	99	99	00	00	00	00	00	00	00	00	 	 	 	 	 	 	 	 	 	 	 	Still waiting on the android auto update.  It was a hardware option on the car, but still waiting on "software".  In my mind this is still an outstanding issue that I would like to resolve.	1015,1107,3011	1015	1107	3011	          	          	          	          	0000      	0000      	0000	99        	          	          	          	10	09	10		 	 	AXFX	58462112	201804    	1	en	201804    
